State,Crop,Season,Soil_Type,Soil_Quality_Score,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha,Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_Pct,Temperature_C,Fertiliser_Kg_Ha,Irrigation,Insurance_Claim
Punjab,Bajra,Zaid,Black,4,30.65,106.79,3.484,1090.7,876.2,24.48,20.8,283.9,1,0
Andhra Pradesh,Pulses,Kharif,Alluvial,5,0.82,2.01,2.451,586.0,891.3,-34.25,23.1,282.9,1,1
Uttar Pradesh,Bajra,Zaid,Alluvial,5,49.49,240.06,4.851,1128.2,898.3,25.59,28.9,58.0,1,0
Haryana,Pulses,Rabi,Alluvial,5,18.51,30.78,1.662,934.0,755.9,23.56,27.6,209.5,0,1
Haryana,Bajra,Kharif,Black,4,42.48,205.09,4.828,745.4,712.4,4.64,28.6,166.7,1,0
Madhya Pradesh,Wheat,Zaid,Laterite,2,26.98,137.46,5.095,672.0,858.8,-21.76,22.1,269.7,0,1
Andhra Pradesh,Cotton,Kharif,Sandy,1,6.96,11.3,1.625,513.1,769.5,-33.32,14.6,244.5,1,1
Andhra Pradesh,Groundnut,Kharif,Red,3,39.98,235.25,5.884,495.5,877.7,-43.54,21.4,277.8,0,1
Haryana,Wheat,Zaid,Red,3,35.64,211.24,5.928,343.2,688.1,-50.12,34.4,278.8,1,1
Andhra Pradesh,Rice,Zaid,Sandy,1,26.61,151.23,5.684,805.2,628.9,28.03,22.3,139.2,0,0
Punjab,Maize,Kharif,Black,4,25.97,90.38,3.48,285.0,658.1,-56.7,27.1,136.3,1,1
Rajasthan,Cotton,Kharif,Red,3,4.83,10.77,2.23,583.4,838.9,-30.46,26.4,179.6,0,1
Maharashtra,Jowar,Zaid,Alluvial,5,32.96,128.89,3.91,964.2,607.7,58.68,27.1,134.7,1,0
West Bengal,Soybean,Rabi,Red,3,45.61,141.37,3.1,1173.3,1142.4,2.7,18.0,289.0,1,0
Tamil Nadu,Wheat,Kharif,Sandy,1,5.12,10.38,2.03,512.9,1142.8,-55.12,30.9,261.0,0,1
Madhya Pradesh,Bajra,Kharif,Alluvial,5,13.54,42.23,3.118,952.4,982.8,-3.1,25.4,125.7,0,0
Rajasthan,Wheat,Rabi,Red,3,45.16,195.08,4.319,722.6,794.6,-9.06,39.9,359.4,0,0
Haryana,Sugarcane,Zaid,Sandy,1,14.58,19.74,1.355,670.9,777.5,-13.7,23.8,211.2,0,1
West Bengal,Cotton,Zaid,Black,4,32.87,87.67,2.667,838.7,894.5,-6.24,31.9,94.5,0,0
Andhra Pradesh,Groundnut,Rabi,Sandy,1,26.97,29.37,1.089,636.3,939.5,-32.27,23.7,124.5,1,1
Tamil Nadu,Jowar,Zaid,Black,4,30.02,142.51,4.747,779.0,894.4,-12.91,37.5,238.9,1,0
Andhra Pradesh,Sugarcane,Zaid,Alluvial,5,21.08,88.62,4.203,817.7,653.4,25.15,30.4,168.4,1,0
Uttar Pradesh,Pulses,Kharif,Sandy,1,15.35,20.16,1.313,1090.1,821.5,32.7,18.3,347.9,0,1
Uttar Pradesh,Sugarcane,Kharif,Laterite,2,2.9,16.9,5.824,1144.4,930.0,23.05,34.4,223.2,0,0
Tamil Nadu,Wheat,Kharif,Laterite,2,37.34,41.57,1.113,650.4,495.8,31.18,30.7,370.4,1,1
Tamil Nadu,Jowar,Rabi,Laterite,2,37.43,147.85,3.95,732.5,684.2,7.06,23.2,85.6,1,0
Haryana,Wheat,Zaid,Laterite,2,33.7,164.52,4.882,1001.1,928.9,7.77,16.3,284.0,0,0
Tamil Nadu,Pulses,Zaid,Laterite,2,32.36,159.84,4.939,754.8,803.2,-6.03,33.2,360.0,0,0
Punjab,Soybean,Kharif,Black,4,12.56,14.72,1.171,978.6,803.3,21.82,36.4,152.5,0,1
Andhra Pradesh,Jowar,Kharif,Sandy,1,1.61,8.88,5.532,1025.5,1016.3,0.91,32.7,97.5,0,0
Rajasthan,Soybean,Rabi,Alluvial,5,40.53,226.66,5.592,1054.8,841.9,25.28,31.2,209.8,1,0
Karnataka,Cotton,Zaid,Laterite,2,24.81,94.46,3.807,821.9,779.0,5.52,29.3,386.5,0,0
Tamil Nadu,Cotton,Rabi,Laterite,2,15.69,53.5,3.41,509.1,803.7,-36.65,32.4,271.7,1,1
Madhya Pradesh,Soybean,Zaid,Alluvial,5,5.55,6.79,1.224,758.0,808.7,-6.26,24.4,275.4,1,0
Uttar Pradesh,Cotton,Rabi,Alluvial,5,3.6,13.73,3.81,673.2,724.8,-7.12,15.1,285.0,1,0
Punjab,Jowar,Kharif,Laterite,2,17.77,54.14,3.047,994.3,816.6,21.76,30.6,63.9,0,0
West Bengal,Bajra,Rabi,Black,4,40.33,196.19,4.864,1181.4,679.0,73.98,28.4,206.0,0,0
Karnataka,Rice,Rabi,Alluvial,5,45.98,138.82,3.019,1188.4,800.0,48.55,17.6,77.2,1,0
Rajasthan,Cotton,Kharif,Sandy,1,44.89,198.32,4.418,1021.4,772.6,32.2,12.8,160.6,0,0
Karnataka,Cotton,Zaid,Sandy,1,46.04,69.38,1.507,566.3,884.7,-35.99,26.5,337.6,1,1
Tamil Nadu,Wheat,Zaid,Black,4,45.43,75.63,1.665,1150.8,1077.2,6.83,25.1,279.7,0,1
Haryana,Soybean,Kharif,Red,3,26.6,45.18,1.699,906.6,888.9,1.99,24.6,398.5,1,0
Uttar Pradesh,Maize,Rabi,Black,4,11.36,13.95,1.228,593.8,865.5,-31.39,29.5,110.3,1,1
Uttar Pradesh,Groundnut,Rabi,Laterite,2,40.0,148.28,3.707,1015.5,885.1,14.73,21.5,189.0,1,0
West Bengal,Sugarcane,Rabi,Red,3,11.08,55.06,4.97,744.7,720.6,3.35,30.1,333.4,1,0
Haryana,Cotton,Zaid,Laterite,2,13.73,55.62,4.052,312.6,955.3,-67.28,30.2,125.5,1,1
Andhra Pradesh,Sugarcane,Rabi,Sandy,1,12.05,46.68,3.875,554.9,911.0,-39.08,10.0,103.8,1,1
Maharashtra,Jowar,Zaid,Alluvial,5,25.99,114.44,4.403,783.7,843.3,-7.07,25.6,199.7,0,0
Punjab,Maize,Rabi,Laterite,2,16.43,44.33,2.698,773.8,903.2,-14.33,27.2,184.3,0,0
Uttar Pradesh,Groundnut,Kharif,Sandy,1,8.13,22.85,2.81,533.8,899.1,-40.64,30.5,393.1,0,1
Madhya Pradesh,Soybean,Kharif,Black,4,22.93,58.97,2.571,987.8,899.4,9.82,29.3,209.7,1,0
Uttar Pradesh,Rice,Zaid,Laterite,2,43.76,199.56,4.561,929.9,999.1,-6.93,15.5,351.3,0,0
Karnataka,Groundnut,Zaid,Sandy,1,28.74,51.97,1.808,441.1,736.3,-40.1,26.6,360.8,0,1
Uttar Pradesh,Groundnut,Kharif,Alluvial,5,43.98,46.84,1.065,1458.3,1046.7,39.33,24.4,105.3,0,1
Uttar Pradesh,Rice,Kharif,Laterite,2,10.2,40.59,3.981,496.4,609.6,-18.58,32.4,300.4,1,0
Maharashtra,Bajra,Rabi,Sandy,1,8.77,50.07,5.712,685.6,949.3,-27.78,18.8,147.2,1,1
Maharashtra,Soybean,Kharif,Laterite,2,28.99,117.33,4.047,893.9,875.2,2.14,26.0,83.2,1,0
Rajasthan,Wheat,Zaid,Alluvial,5,23.43,115.17,4.915,686.4,705.6,-2.72,31.2,356.1,0,0
Andhra Pradesh,Sugarcane,Kharif,Laterite,2,33.18,144.79,4.364,1163.6,1004.4,15.85,30.6,152.4,1,0
Madhya Pradesh,Cotton,Zaid,Laterite,2,39.83,138.91,3.487,756.2,578.0,30.83,25.1,170.9,1,0
Uttar Pradesh,Groundnut,Zaid,Sandy,1,37.69,173.07,4.592,569.6,1093.8,-47.93,33.1,163.4,1,1
Uttar Pradesh,Jowar,Rabi,Red,3,47.14,241.39,5.121,953.6,1188.5,-19.76,21.6,120.1,0,0
Punjab,Rice,Rabi,Laterite,2,20.21,42.93,2.124,100.0,825.5,-87.89,30.4,202.1,0,1
Maharashtra,Sugarcane,Rabi,Red,3,10.72,28.73,2.681,933.5,695.8,34.15,31.4,199.9,1,0
Madhya Pradesh,Maize,Rabi,Black,4,27.77,58.83,2.119,1122.5,763.3,47.05,17.8,193.1,1,0
West Bengal,Rice,Kharif,Laterite,2,5.98,19.51,3.261,223.3,996.3,-77.58,33.8,370.7,0,1
Rajasthan,Maize,Rabi,Red,3,14.8,80.28,5.425,699.0,801.6,-12.8,16.1,168.9,1,0
Andhra Pradesh,Soybean,Kharif,Black,4,10.79,29.42,2.726,388.5,409.7,-5.18,28.2,60.6,0,0
Haryana,Groundnut,Rabi,Sandy,1,20.13,57.82,2.872,803.3,907.5,-11.49,23.2,112.5,1,0
Andhra Pradesh,Jowar,Rabi,Laterite,2,6.01,31.84,5.302,1360.9,984.1,38.29,32.1,302.5,1,0
Karnataka,Cotton,Zaid,Sandy,1,2.08,7.43,3.577,857.3,927.1,-7.53,28.0,256.8,0,0
Uttar Pradesh,Maize,Kharif,Black,4,33.01,121.39,3.677,745.4,951.0,-21.62,36.7,383.1,0,1
Rajasthan,Sugarcane,Zaid,Sandy,1,30.71,162.87,5.304,100.0,1090.7,-90.83,32.8,293.1,1,1
Karnataka,Bajra,Rabi,Sandy,1,35.56,122.79,3.453,523.5,818.3,-36.03,26.8,118.0,1,1
Madhya Pradesh,Soybean,Kharif,Alluvial,5,33.19,146.29,4.408,766.7,1107.7,-30.78,33.2,92.2,0,1
Haryana,Bajra,Rabi,Black,4,6.16,8.79,1.428,823.3,826.8,-0.43,25.4,232.3,0,1
Maharashtra,Soybean,Zaid,Sandy,1,14.91,28.22,1.893,885.8,1019.0,-13.07,19.5,282.8,1,1
Rajasthan,Wheat,Kharif,Red,3,6.91,20.89,3.022,992.0,828.6,19.72,23.3,108.0,0,0
Rajasthan,Sugarcane,Zaid,Black,4,42.23,146.71,3.474,573.6,1155.7,-50.37,25.3,260.6,0,1
Uttar Pradesh,Bajra,Rabi,Alluvial,5,37.47,218.41,5.829,810.0,947.2,-14.48,10.0,352.8,1,0
Tamil Nadu,Jowar,Rabi,Laterite,2,10.48,61.32,5.853,675.9,835.6,-19.11,34.3,304.6,0,0
Rajasthan,Groundnut,Rabi,Sandy,1,17.39,91.43,5.256,565.4,670.1,-15.62,25.4,282.5,0,0
Punjab,Rice,Kharif,Red,3,48.35,124.64,2.578,582.0,880.9,-33.93,31.8,326.3,1,1
Haryana,Cotton,Zaid,Alluvial,5,29.91,174.09,5.82,935.2,727.1,28.62,27.0,86.4,1,0
Haryana,Groundnut,Zaid,Black,4,40.16,178.57,4.447,158.9,916.1,-82.65,16.8,121.3,0,1
Punjab,Groundnut,Rabi,Sandy,1,13.6,40.31,2.965,336.2,948.8,-64.56,26.5,63.3,1,1
West Bengal,Soybean,Zaid,Alluvial,5,10.9,49.13,4.508,1591.8,1006.1,58.22,25.3,100.7,1,0
Punjab,Jowar,Kharif,Alluvial,5,39.3,42.55,1.083,633.9,930.7,-31.89,21.9,369.6,1,1
Punjab,Soybean,Rabi,Red,3,34.45,59.63,1.731,1167.2,862.0,35.41,23.7,127.8,1,0
Haryana,Pulses,Rabi,Laterite,2,34.21,176.12,5.148,783.8,1048.7,-25.26,26.2,281.7,0,1
Andhra Pradesh,Maize,Rabi,Laterite,2,27.86,117.77,4.228,659.6,1066.1,-38.13,11.3,292.0,0,1
Haryana,Cotton,Kharif,Laterite,2,28.4,80.11,2.821,964.3,692.1,39.33,28.2,275.9,1,0
Tamil Nadu,Maize,Rabi,Black,4,36.92,129.33,3.503,820.1,1114.3,-26.4,29.6,243.9,1,1
Uttar Pradesh,Rice,Rabi,Alluvial,5,13.87,76.61,5.526,755.2,1034.4,-26.99,29.0,220.1,1,1
Karnataka,Pulses,Rabi,Black,4,17.96,74.68,4.158,789.0,722.0,9.28,24.3,197.0,0,0
Andhra Pradesh,Sugarcane,Rabi,Alluvial,5,43.65,130.53,2.991,898.5,568.1,58.15,37.8,370.9,0,0
Maharashtra,Rice,Zaid,Red,3,15.79,25.29,1.602,627.9,1030.7,-39.07,29.1,53.3,1,1
Karnataka,Rice,Rabi,Red,3,27.54,67.99,2.469,679.5,880.9,-22.86,23.5,68.7,1,1
Uttar Pradesh,Wheat,Kharif,Black,4,35.28,207.86,5.892,555.6,781.7,-28.92,18.6,222.4,0,1
Tamil Nadu,Cotton,Rabi,Black,4,50.0,159.33,3.187,498.1,897.1,-44.47,17.8,165.7,1,1
Tamil Nadu,Soybean,Rabi,Red,3,22.05,74.06,3.359,1262.5,1027.9,22.82,28.4,192.9,1,0
Maharashtra,Jowar,Zaid,Sandy,1,21.69,75.77,3.493,573.4,545.3,5.17,30.3,399.2,0,0
